ad_number,title,type,Service/Office,Office of Primary Responsibility,published_date,effective_date,CFR Part Reference,CFR Subpart/Appendix Reference,CFR Section Reference
2012-26-13,Airworthiness Directives; Thielert Aircraft Engines GmbH Reciprocating Engines,AD Final Rules,,,01/09/2013,02/13/2013,Part 39,,
93-11-03,"TELEDYNE CONTINENTAL MOTORS Models O-200A, O-300A, O-300C, and O-300D Engines",AD Final Rules,,,12/15/2011,07/13/1993,Part 39,,
2008-22-23,Airworthiness Directives; Thielert Aircraft Engines GmbH (TAE) Model TAE 125-02-99 Reciprocating Engines,AD Final Rules,,,11/04/2008,11/19/2008,Part 39,,
2020-26-06,Airworthiness Directives; Technify Motors GmbH (Type Certificate Previously Held by Thielert Aircraft Engines GmbH) Reciprocating Engines,AD Final Rules,,,12/14/2020,12/29/2020,Part 39,,
98-04-32,Airworthiness Directives; Lockheed Model L-14 and L-18 Series Airplanes,AD Final Rules,,,02/18/1998,03/25/1998,Part 39 [63 FR 8066  NO. 32  02/18/98],,
98-04-22,"Airworthiness Directives; SOCATA - Groupe AEROSPATIALE, Model TBM 700 Airplanes",AD Final Rules,,,02/17/1998,03/13/1998,Part 39 [63 FR 7648 No. 31 02/17/98],,
98-04-33,Airworthiness Directives; Gulfstream American (Frakes Aviation) Model G-73 (Mallard) and G-73T Series Airplanes,AD Final Rules,,,02/18/1998,03/25/1998,Part 39 [63 FR 8070  NO. 32  02/18/98],,
98-04-23,"Airworthiness Directives; Aerostar Aircraft Corporation Models PA-60-600, PA-60-601, PA-60-601P, PA-60-602P, and PA-60-700P Airplanes.",AD Final Rules,,,02/17/1998,03/13/1998,Part 39 [63 FR 7672 No. 31 02/17/98],,
98-04-25,Airworthiness Directives; Raytheon Aircraft Company Model 2000 Airplanes,AD Final Rules,,,11/15/2011,03/13/1998,Part 39 [63 FR 7664 No. 31 02/17/98],,
98-04-24,"Airworthiness Directives; Raytheon Aircraft Company Models E55, E55A, 58, 58A, 58P, 58PA, 58TC, 58TCA Airplanes, and 60, 65-B80, 65-B90, 90, F90, 100, 300, and B300 Series Airplanes",AD Final Rules,,,02/17/1998,03/13/1998,Part 39 [63 FR 7656 No. 31 02/17/98],,
